,ParentEduc,TestPrep,WklyStudyHours,ReadingScore,WritingScore,MathScore
0,5,1,1,71,74,71
1,3,1,2,90,88,69
2,6,1,1,93,91,87
3,4,1,2,56,42,45
4,3,1,2,78,75,76
5,4,1,2,84,79,73
6,3,2,2,93,89,85
7,3,1,3,43,39,41
8,2,2,3,64,68,65
9,2,1,1,59,50,37
10,4,1,2,54,52,58
11,4,1,2,52,43,40
12,2,1,2,82,74,66
13,3,2,3,73,71,80
14,6,1,1,53,58,48
15,1,1,2,75,78,69
16,2,1,2,89,86,88
17,1,1,2,32,28,18
18,6,2,2,42,47,46
19,4,1,1,56,58,50
20,2,1,2,69,63,66
21,3,2,2,75,70,65
22,3,1,2,53,51,42
23,1,1,2,71,71,66
24,3,2,2,71,80,74
25,6,1,2,76,76,75
26,3,1,1,53,53,66
27,5,1,3,70,76,69
28,2,1,2,70,65,70
29,3,1,1,72,72,66
30,3,1,2,65,61,63
31,6,1,2,73,66,56
32,3,1,2,42,38,40
33,3,1,2,87,82,97
34,4,2,2,81,79,81
35,4,1,2,82,85,76
36,1,1,2,64,60,51
37,4,2,2,91,90,77
38,4,1,2,56,58,58
39,4,1,2,60,52,53
40,4,1,2,74,69,59
41,3,1,2,65,67,60
42,4,1,1,55,52,48
43,4,1,1,53,55,63
44,2,1,2,72,77,67
45,2,2,2,84,82,82
46,3,1,3,55,48,54
47,4,2,1,68,68,76
48,3,1,3,45,43,56
49,2,1,2,78,75,88
50,1,2,3,86,90,75
51,2,1,2,41,43,33
52,4,2,3,86,87,84
53,4,1,2,55,49,52
54,3,2,3,60,60,61
55,1,1,3,17,10,0
56,1,1,2,39,34,39
57,4,1,2,61,55,62
58,1,1,2,58,59,59
59,1,1,1,62,58,63
60,1,1,2,37,37,45
61,3,1,2,73,75,61
62,4,1,2,58,57,62
63,4,1,2,64,57,39
64,3,2,3,55,64,64
65,4,1,2,51,49,42
66,1,1,2,56,54,59
67,1,1,1,48,40,47
68,4,1,2,41,38,44
69,1,1,2,25,21,28
70,3,2,2,79,83,82
71,1,2,3,75,73,62
72,6,1,2,68,68,60
73,4,1,3,50,52,49
74,2,1,2,45,45,49
75,3,2,2,47,54,50
76,4,1,2,64,64,74
77,2,1,2,38,33,40
78,3,1,2,80,82,73
79,3,1,1,81,86,73
80,4,1,2,71,74,71
81,3,1,1,69,67,57
82,1,1,3,87,83,75
83,2,1,2,34,36,27
84,2,1,1,77,69,68
85,4,2,3,46,52,45
86,3,1,2,87,94,81
87,1,2,2,65,61,63
88,3,2,1,69,66,59
89,3,1,3,69,64,61
90,5,1,1,66,62,64
91,3,1,2,67,67,79
92,5,2,2,74,74,68
93,4,1,2,92,91,87
94,2,2,2,44,48,61
95,3,2,3,88,94,100
96,3,1,2,67,72,58
97,6,1,2,100,100,87
98,3,2,2,63,64,66
99,4,1,2,76,70,52
100,1,1,2,64,73,72
101,4,2,3,90,99,79
102,2,1,2,55,50,63
103,4,1,2,53,47,54
104,3,1,1,56,51,47
105,5,2,1,99,100,98
106,2,1,2,77,74,84
107,5,1,2,83,79,72
108,5,1,2,80,77,75
109,1,1,3,64,63,54
110,3,1,2,69,65,55
111,5,2,2,90,86,76
112,4,2,1,87,90,88
113,3,2,2,94,95,90
114,2,1,2,57,56,63
115,3,1,1,79,73,82
116,2,1,3,94,85,86
117,3,1,2,68,67,72
118,3,1,1,76,74,64
119,6,1,1,81,72,77
120,5,1,2,49,52,52
121,6,1,1,84,82,87
122,1,2,1,36,40,52
123,3,2,2,75,71,89
124,3,2,1,78,80,70
125,5,2,3,80,76,76
126,5,1,1,54,47,56
127,1,2,2,54,41,51
128,2,1,1,54,54,67
129,4,1,2,66,67,59
130,3,2,3,61,70,73
131,1,1,2,72,71,76
132,3,1,2,62,65,60
133,3,2,1,54,54,41
134,2,1,2,43,47,57
135,3,1,3,74,79,90
136,3,1,1,38,33,21
137,5,2,1,73,79,65
138,4,2,2,100,95,100
139,1,2,2,67,69,62
140,4,2,1,68,64,57
141,5,1,2,49,47,54
142,1,1,1,65,58,58
143,3,2,1,88,88,69
144,2,2,2,75,79,67
145,3,1,1,59,58,58
146,4,1,2,87,89,62
147,4,1,3,63,66,70
148,4,2,2,78,74,82
149,3,2,2,88,85,75
150,6,1,2,53,52,48
151,2,1,2,53,49,52
152,6,1,1,89,86,76
153,5,2,2,100,100,96
154,2,2,2,51,51,53
155,6,2,3,79,83,62
156,2,2,2,84,79,70
157,2,2,3,75,77,76
158,1,1,1,86,76,91
159,3,1,2,84,78,76
160,4,1,2,67,70,63
161,5,2,1,50,52,41
162,6,2,2,92,89,81
163,2,2,1,53,56,44
164,4,2,1,76,77,70
165,6,2,2,72,65,54
166,1,2,2,100,100,99
167,6,2,1,68,75,60
168,3,1,2,64,66,46
169,2,1,2,50,47,50
170,4,1,1,67,68,63
171,4,2,1,65,62,61
172,2,1,1,73,62,75
173,1,2,2,66,68,62
174,1,1,1,51,45,47
175,5,1,1,86,85,74
176,4,1,2,65,69,66
177,3,2,1,81,77,73
178,1,1,2,64,66,62
179,3,2,2,62,63,79
180,6,2,1,85,87,69
181,4,1,1,54,52,60
182,3,2,2,67,63,57
183,2,1,3,56,52,56
184,3,1,3,54,57,47
185,5,1,2,80,77,80
186,4,2,1,83,86,66
187,3,1,1,79,75,63
188,4,1,2,77,69,69
189,4,1,2,70,69,58
190,3,1,1,40,42,58
191,1,2,1,69,76,71
192,5,1,2,62,63,84
193,2,2,2,81,77,83
194,3,1,1,80,76,73
195,3,1,2,61,66,58
196,1,2,1,77,77,77
197,3,1,2,28,27,35
198,2,1,2,62,60,42
199,4,2,2,51,57,61
200,2,1,2,91,81,87
201,1,2,2,84,76,86
202,4,2,1,84,86,80
203,2,1,1,41,39,33
204,2,1,1,75,68,64
205,1,2,2,55,54,59
206,2,2,2,69,75,57
207,4,1,3,86,74,89
208,1,1,2,65,62,55
