ParentEduc,TestPrep,WklyStudyHours,ReadingScore,WritingScore,MathScore
3,1,2,72,64,75
3,1,2,54,58,78
5,1,1,57,65,69
5,1,2,77,75,68
6,1,2,57,51,54
4,1,2,64,65,68
1,1,2,72,71,67
1,1,2,50,52,63
1,2,1,60,58,37
2,1,2,78,79,71
4,1,1,63,66,54
4,1,1,76,73,66
5,2,2,76,77,61
2,1,1,80,78,77
3,1,2,73,72,82
1,2,1,51,50,50
3,1,2,68,69,85
1,2,3,51,48,44
5,1,2,99,92,90
1,2,2,36,36,26
3,2,2,75,81,73
3,2,2,85,85,94
3,2,3,88,93,86
3,2,2,61,65,42
2,1,2,60,60,47
3,1,3,42,39,48
5,2,2,60,57,55
3,2,2,89,86,73
3,2,3,63,58,65
2,1,1,59,56,70
3,1,1,61,63,68
4,1,2,66,66,52
4,2,1,51,49,56
4,2,1,85,95,89
5,1,2,69,71,67
5,1,1,89,81,78
3,1,2,63,58,57
5,1,3,62,58,57
1,1,2,82,79,76
1,2,2,73,73,61
3,1,2,56,52,58
1,2,2,77,80,74
5,1,1,57,53,55
5,1,2,63,59,53
3,2,2,88,84,76
3,1,2,77,80,72
3,1,3,90,83,89
2,1,2,68,61,58
3,2,2,43,44,43
1,1,3,73,68,57
5,1,2,61,60,61
2,1,1,66,69,76
1,1,2,56,51,44
4,2,2,71,73,71
3,1,1,70,64,65
2,2,2,81,85,80
1,1,2,90,83,96
4,2,2,93,97,81
1,1,3,46,41,49
3,2,2,79,78,69
5,1,3,66,66,48
3,2,2,73,74,47
1,2,1,88,80,67
4,1,3,84,89,77
3,2,2,85,90,96
6,1,1,87,96,99
3,1,3,82,83,82
2,2,2,45,55,53
3,2,1,79,84,78
3,1,2,83,80,90
1,1,1,56,51,63
1,1,3,60,61,63
5,1,2,91,91,94
3,2,1,70,67,55
3,1,2,84,83,84
1,1,2,59,57,59
3,1,2,59,54,49
6,2,1,85,87,69
4,1,2,91,93,85
2,2,2,82,77,74
1,1,2,47,51,58
3,1,2,73,69,87
3,1,2,92,96,79
4,1,1,45,45,50
6,1,1,69,71,63
2,1,1,65,57,39
2,2,2,64,66,68
4,1,2,79,82,85
2,2,2,79,74,66
1,2,3,72,65,67
3,1,2,60,60,51
1,1,2,43,37,48
2,1,3,62,48,60
2,1,1,74,73,87
1,1,2,52,47,48
5,2,2,90,87,90
1,1,2,82,85,75
3,2,3,81,79,93
5,1,3,72,66,75
3,1,3,59,56,53
4,1,2,54,52,65
2,1,2,75,72,58
2,1,2,56,49,49
4,1,1,54,52,39
5,1,2,67,62,65
2,1,3,78,78,70
3,1,1,65,62,52
6,2,2,90,92,61
3,2,1,46,52,52
3,1,2,80,78,61
4,2,2,63,61,62
1,1,2,47,51,56
3,2,1,64,63,56
4,1,2,53,55,45
3,1,3,82,74,89
5,1,3,83,84,77
4,1,2,62,60,52
1,2,2,54,56,46
5,2,2,77,76,71
1,1,2,70,70,56
5,2,2,93,93,85
3,2,1,98,100,85
6,1,2,93,88,70
4,1,1,22,21,21
4,1,2,68,74,69
3,1,2,73,75,75
3,1,1,59,56,40
6,1,2,78,75,83
3,1,2,47,48,51
2,1,3,77,68,71
2,1,1,70,71,78
6,1,3,50,53,63
1,2,3,72,72,54
4,1,2,58,51,38
1,1,2,53,48,53
2,1,2,31,29,23
2,2,2,73,64,74
3,1,3,61,62,67
2,1,1,83,80,67
2,1,1,73,64,62
5,2,1,47,51,47
